label,area,,,,area
300,0.061806516,9.41519263,0.004989927,0.498992733,0.061806516
,,0,0,0,
314,0.061806516,9.476999146,0.005022684,0.502268397,0.061806516
,,0,0,0,
328,0.061806516,9.538805663,0.005055441,0.50554406,0.061806516
,,0,0,0,
356,0.061806516,9.600612179,0.005088197,0.508819724,0.061806516
,,0,0,0,
394,0.061806516,9.662418695,0.005120954,0.512095387,0.061806516
,,0,0,0,
404,0.061806516,9.724225211,0.005153711,0.515371051,0.061806516
,,0,0,0,
421,0.061806516,9.786031727,0.005186467,0.518646714,0.061806516
,,0,0,0,
450,0.061806516,9.847838244,0.005219224,0.521922378,0.061806516
,,0,0,0,
480,0.061806516,9.90964476,0.00525198,0.525198041,0.061806516
,,0,0,0,
527,0.061806516,9.971451276,0.005284737,0.528473705,0.061806516
,,0,0,0,
588,0.061806516,10.03325779,0.005317494,0.531749368,0.061806516
,,0,0,0,
642,0.061806516,10.09506431,0.00535025,0.535025032,0.061806516
,,0,0,0,
648,0.061806516,10.15687082,0.005383007,0.538300695,0.061806516
,,0,0,0,
653,0.061806516,10.21867734,0.005415764,0.541576358,0.061806516
,,0,0,0,
656,0.061806516,10.28048386,0.00544852,0.544852022,0.061806516
,,0,0,0,
711,0.061806516,10.34229037,0.005481277,0.548127685,0.061806516
,,0,0,0,
743,0.061806516,10.40409689,0.005514033,0.551403349,0.061806516
,,0,0,0,
762,0.061806516,10.46590341,0.00554679,0.554679012,0.061806516
,,0,0,0,
771,0.061806516,10.52770992,0.005579547,0.557954676,0.061806516
,,0,0,0,
790,0.061806516,10.58951644,0.005612303,0.561230339,0.061806516
,,0,0,0,
892,0.061806516,10.65132295,0.00564506,0.564506003,0.061806516
,,0,0,0,
897,0.061806516,10.71312947,0.005677817,0.567781666,0.061806516
,,0,0,0,
37,0.072107602,10.78523707,0.005716033,0.571603273,0.072107602
,,0,0,0,
71,0.072107602,10.85734467,0.005754249,0.575424881,0.072107602
,,0,0,0,
90,0.072107602,10.92945228,0.005792465,0.579246488,0.072107602
,,0,0,0,
95,0.072107602,11.00155988,0.005830681,0.583068096,0.072107602
,,0,0,0,
102,0.072107602,11.07366748,0.005868897,0.586889703,0.072107602
,,0,0,0,
135,0.072107602,11.14577508,0.005907113,0.59071131,0.072107602
,,0,0,0,
250,0.072107602,11.21788269,0.005945329,0.594532918,0.072107602
,,0,0,0,
262,0.072107602,11.28999029,0.005983545,0.598354525,0.072107602
,,0,0,0,
301,0.072107602,11.36209789,0.006021761,0.602176132,0.072107602
,,0,0,0,
371,0.072107602,11.43420549,0.006059977,0.60599774,0.072107602
,,0,0,0,
398,0.072107602,11.50631309,0.006098193,0.609819347,0.072107602
,,0,0,0,
538,0.072107602,11.5784207,0.00613641,0.613640955,0.072107602
,,0,0,0,
546,0.072107602,11.6505283,0.006174626,0.617462562,0.072107602
,,0,0,0,
629,0.072107602,11.7226359,0.006212842,0.621284169,0.072107602
,,0,0,0,
717,0.072107602,11.7947435,0.006251058,0.625105777,0.072107602
,,0,0,0,
738,0.072107602,11.86685111,0.006289274,0.628927384,0.072107602
,,0,0,0,
763,0.072107602,11.93895871,0.00632749,0.632748991,0.072107602
,,0,0,0,
769,0.072107602,12.01106631,0.006365706,0.636570599,0.072107602
,,0,0,0,
794,0.072107602,12.08317391,0.006403922,0.640392206,0.072107602
,,0,0,0,
812,0.072107602,12.15528151,0.006442138,0.644213813,0.072107602
,,0,0,0,
879,0.072107602,12.22738912,0.006480354,0.648035421,0.072107602
,,0,0,0,
919,0.072107602,12.29949672,0.00651857,0.651857028,0.072107602
,,0,0,0,
77,0.082408688,12.38190541,0.006562246,0.656224579,0.082408688
,,0,0,0,
100,0.082408688,12.46431409,0.006605921,0.660592131,0.082408688
,,0,0,0,
151,0.082408688,12.54672278,0.006649597,0.664959682,0.082408688
,,0,0,0,
278,0.082408688,12.62913147,0.006693272,0.669327233,0.082408688
,,0,0,0,
302,0.082408688,12.71154016,0.006736948,0.673694785,0.082408688
